abbr,fips,jurisdiction,Total Cases,Total Death,CasesInLast7Days,RatePer100000
CT,9,Connecticut,29312,2495,5391,820.5
IA,19,Iowa,9169,184,4724,290.5
NC,37,North Carolina,11664,422,3612,112.3
NJ,34,New Jersey,126744,7871,24548,1422.7
NY,36,New York,312618,24560,45362,1599.7
OH,39,Ohio,19914,1038,4745,170.4
PR,72,Puerto Rico,1808,97,392,56.6
RI,44,Rhode Island,9477,320,2778,896.3
SD,46,South Dakota,2631,21,591,298.2
VI,78,Virgin Islands,66,4,12,63
WA,53,Washington,15185,834,2208,201.5
AR,5,Arkansas,3431,76,621,113.8
FL,12,Florida,35969,1399,6262,168.9
CO,8,Colorado,16534,842,4350,290.3
HI,15,Hawaii,557,17,-44,39.2
KY,21,Kentucky,5130,253,1351,114.8
LA,22,Louisiana,29383,2012,3243,630.5
MN,27,Minnesota,7238,428,4053,129
MO,29,Missouri,8386,352,1761,136.9
ND,38,North Dakota,1191,25,443,156.7
NV,32,Nevada,5426,262,1028,178.8
OR,41,Oregon,2680,109,503,64
UT,49,Utah,5261,50,1479,166.4
VA,51,Virginia,19492,684,7126,228.8
AL,1,Alabama,7888,290,1862,161.4
DE,10,Delaware,5208,177,1766,538.5
MA,25,Massachusetts,68087,4004,17118,986.5
ME,23,Maine,1205,57,240,90
MP,69,Northern Mariana Islands,14,2,0,0
NE,31,Nebraska,5659,78,3238,293.3
NH,33,New Hampshire,2518,86,798,185.6
OK,40,Oklahoma,3972,238,851,100.7
PA,42,Pennsylvania,49267,2444,10615,384.7
PW,70,Palau,0,0,0,0
RMI,68,Republic of Marshall Islands,0,0,0,0
TX,48,Texas,31548,867,8742,109.9
VT,50,Vermont,897,52,70,143.2
WV,54,West Virginia,1195,50,185,66.2
CA,6,California,50442,2215,14362,135.5
GU,66,Guam,149,5,8,89.9
AZ,4,Arizona,8640,362,2595,120.5
GA,13,Georgia,28621,1178,6130,272.1
ID,16,Idaho,2061,64,191,117.5
IL,17,Illinois,61449,2618,21791,482.3
IN,18,Indiana,19933,1246,6253,297.9
KS,20,Kansas,5030,134,2253,172.8
MD,24,Maryland,26408,1317,9792,437
MI,26,Michigan,43754,4049,7127,633.9
MS,28,Mississippi,7877,310,2443,263.8
MT,30,Montana,457,16,13,43
NM,35,New Mexico,3850,151,1329,183.7
SC,45,South Carolina,6626,275,1556,130.3
TN,47,Tennessee,13243,210,4501,195.6
WI,55,Wisconsin,7964,339,2608,137
WY,56,Wyoming,586,7,113,101.4
AK,2,Alaska,368,9,29,49.9
DC,11,District of Columbia,5016,251,1488,714.1
AS,60,American Samoa,0,0,0,0
FSM,64,Federated States of Micronesia,0,0,0,0
US,0,United States of America,1152372,67456,0,0
